id,LINDC+,LDCH,LD2S1,LD3S1,LNM,LINN,overshoot,damping
118,2.9298304224200548e-08,5.8990800761617726e-09,9.497330800592898e-09,6.423042479157448e-10,4.667395493183285e-08,1.1611666546389461e-09,269.30743,0.026838645339012146
119,3.6085129106044766e-09,3.8118665607273576e-08,5.507031656587496e-08,4.9661634650081396e-08,2.6052795568928124e-08,1.1611666546389461e-09,1644.74,0.2409306764602661
120,5.657605617493391e-09,4.68980355094187e-08,3.038425464622676e-08,5.500678131755441e-08,1.2973884222358464e-08,9.958461164683103e-10,1758.3765,0.26614853739738464
121,3.543657775050029e-08,4.68980355094187e-08,3.038425464622676e-08,5.500678131755441e-08,1.2973884222358464e-08,9.958461164683103e-10,1668.7148,0.022485077381134033
122,5.657605617493391e-09,3.0763962220121176e-08,3.038425464622676e-08,5.500678131755441e-08,1.2973884222358464e-08,9.958461164683103e-10,1754.7498,0.2395920604467392
123,5.657605617493391e-09,4.68980355094187e-08,7.655563589613885e-09,5.500678131755441e-08,1.2973884222358464e-08,9.958461164683103e-10,1717.8438,0.24859163165092468
124,5.657605617493391e-09,4.68980355094187e-08,3.038425464622676e-08,1.501602685753256e-08,1.2973884222358464e-08,9.958461164683103e-10,1495.8835,0.23688438534736633
125,5.657605617493391e-09,4.68980355094187e-08,3.038425464622676e-08,5.500678131755441e-08,5.2281042348667974e-08,9.958461164683103e-10,1912.6707,0.2636650502681732
126,5.657605617493391e-09,4.68980355094187e-08,3.038425464622676e-08,5.500678131755441e-08,1.2973884222358464e-08,4.955001895997673e-08,1711.834,0.25157707929611206
127,3.543657775050029e-08,3.0763962220121176e-08,7.655563589613885e-09,1.501602685753256e-08,5.2281042348667974e-08,4.955001895997673e-08,1749.0027,0.24055172502994537
128,6.2892562705464665e-09,9.27512517021969e-09,2.6449120700359345e-08,1.4971524600479752e-08,2.9216820149477573e-08,2.911220474762842e-08,929.9281,0.03708673268556595
129,4.441548348741605e-08,9.27512517021969e-09,2.6449120700359345e-08,1.4971524600479752e-08,2.9216820149477573e-08,2.911220474762842e-08,1194.5302,0.030910754576325417
130,6.2892562705464665e-09,3.802007787944749e-08,2.6449120700359345e-08,1.4971524600479752e-08,2.9216820149477573e-08,2.911220474762842e-08,1668.4612,0.238707035779953
131,6.2892562705464665e-09,9.27512517021969e-09,1.582927386276424e-09,1.4971524600479752e-08,2.9216820149477573e-08,2.911220474762842e-08,880.588,0.1503066122531891
132,6.2892562705464665e-09,9.27512517021969e-09,2.6449120700359345e-08,5.4042412109374996e-08,2.9216820149477573e-08,2.911220474762842e-08,1731.5686,0.2329183965921402
133,6.2892562705464665e-09,9.27512517021969e-09,2.6449120700359345e-08,1.4971524600479752e-08,5.536600698113441e-08,2.911220474762842e-08,835.21313,0.31985244154930115
134,6.2892562705464665e-09,9.27512517021969e-09,2.6449120700359345e-08,1.4971524600479752e-08,2.9216820149477573e-08,3.317207237878814e-08,1080.4363,0.06867451965808868
135,4.441548348741605e-08,3.802007787944749e-08,1.582927386276424e-09,5.4042412109374996e-08,5.536600698113441e-08,3.317207237878814e-08,2026.1389,0.2661955952644348
136,2.9929322968702764e-08,4.5873657499905674e-08,4.744382522962987e-08,4.141599181396886e-08,2.3120764847490937e-08,1.688616989841685e-08,1823.8657,0.2602401673793793
137,2.127832606714219e-08,4.5873657499905674e-08,4.744382522962987e-08,4.141599181396886e-08,2.3120764847490937e-08,1.688616989841685e-08,1827.6489,0.2515791356563568
138,2.9929322968702764e-08,2.7694387284666304e-08,4.744382522962987e-08,4.141599181396886e-08,2.3120764847490937e-08,1.688616989841685e-08,1685.9775,0.23082447052001953
139,2.9929322968702764e-08,4.5873657499905674e-08,4.7281200909763575e-08,4.141599181396886e-08,2.3120764847490937e-08,1.688616989841685e-08,1713.4944,0.2436467707157135
140,2.9929322968702764e-08,4.5873657499905674e-08,4.744382522962987e-08,2.0722461961098017e-08,2.3120764847490937e-08,1.688616989841685e-08,1745.6382,0.248421311378479
141,2.9929322968702764e-08,4.5873657499905674e-08,4.744382522962987e-08,4.141599181396886e-08,2.6560849018990995e-08,1.688616989841685e-08,1742.2976,0.2477060705423355
