id,R_onHS1,R_offHS1,L_onHS1,L_offHS1,L_SKHS1,R_onHS2,R_offHS2,L_onHS2,L_offHS2,L_SKHS2,overshoot_vgs1,damping_vgs1,vgs1_min,overshoot_vgs2,damping_vgs2,vgs2_min
1861,7.701144772116095,14.12549312505871,4.724134379884228e-08,8.571540614040568e-09,3.7644959150450304e-08,16.45624668803066,19.53536867722869,4.97406466197595e-08,4.3085282240891825e-08,2.3768853569813075e-08,3.309967,0.05240862816572189,-9.476257,0.642684,0.001767513109371066,-11.231108
1862,3.2168219429440796,12.216443916317075,4.724134379884228e-08,8.571540614040568e-09,3.7644959150450304e-08,16.45624668803066,19.53536867722869,4.97406466197595e-08,4.3085282240891825e-08,2.3768853569813075e-08,4.9107666,0.06185845285654068,-9.289429,0.6428752,0.0017729731043800712,-11.483843
1863,3.2168219429440796,14.12549312505871,2.857703458212316e-08,8.571540614040568e-09,3.7644959150450304e-08,16.45624668803066,19.53536867722869,4.97406466197595e-08,4.3085282240891825e-08,2.3768853569813075e-08,4.937317,0.05771583318710327,-9.308472,0.6427741,0.0017701775068417192,-11.441151
1864,3.2168219429440796,14.12549312505871,4.724134379884228e-08,3.38618471248541e-08,3.7644959150450304e-08,16.45624668803066,19.53536867722869,4.97406466197595e-08,4.3085282240891825e-08,2.3768853569813075e-08,4.823639,0.06415452063083649,-9.484802,0.64262104,0.0017667814390733838,-11.267368
1865,3.2168219429440796,14.12549312505871,4.724134379884228e-08,8.571540614040568e-09,1.949303298513405e-08,16.45624668803066,19.53536867722869,4.97406466197595e-08,4.3085282240891825e-08,2.3768853569813075e-08,4.0534363,0.057496607303619385,-8.716248,0.642643,0.0017664810875430703,-11.497057
1866,3.2168219429440796,14.12549312505871,4.724134379884228e-08,8.571540614040568e-09,3.7644959150450304e-08,7.590471881441772,19.53536867722869,4.97406466197595e-08,4.3085282240891825e-08,2.3768853569813075e-08,4.980011,0.06172031909227371,-9.54126,1.847745,0.02883187122642994,-11.026363
1867,3.2168219429440796,14.12549312505871,4.724134379884228e-08,8.571540614040568e-09,3.7644959150450304e-08,16.45624668803066,2.6848198818042874,4.97406466197595e-08,4.3085282240891825e-08,2.3768853569813075e-08,4.9815674,0.06175312399864197,-9.710632,0.904366,0.00627899682149291,-10.956064
1868,3.2168219429440796,14.12549312505871,4.724134379884228e-08,8.571540614040568e-09,3.7644959150450304e-08,16.45624668803066,19.53536867722869,1.253115372869186e-08,4.3085282240891825e-08,2.3768853569813075e-08,4.983124,0.06175415217876434,-9.3533325,0.7030778,0.0036877759266644716,-10.736361
1869,3.2168219429440796,14.12549312505871,4.724134379884228e-08,8.571540614040568e-09,3.7644959150450304e-08,16.45624668803066,19.53536867722869,4.97406466197595e-08,1.3462519338354468e-08,2.3768853569813075e-08,4.980255,0.061741363257169724,-9.3845825,0.65561056,0.0,-11.05535
1870,3.2168219429440796,14.12549312505871,4.724134379884228e-08,8.571540614040568e-09,3.7644959150450304e-08,16.45624668803066,19.53536867722869,4.97406466197595e-08,4.3085282240891825e-08,3.632081745937466e-08,4.97818,0.06173350661993027,-9.319946,0.933764,0.009295138530433178,-11.624216
1871,7.701144772116095,12.216443916317075,2.857703458212316e-08,3.38618471248541e-08,1.949303298513405e-08,7.590471881441772,2.6848198818042874,1.253115372869186e-08,1.3462519338354468e-08,3.632081745937466e-08,2.14505,0.033313218504190445,-9.055603,1.8741131,0.026439541950821877,-11.120518
1872,0.9327486027032137,2.3104391507804394,4.088902265981771e-08,6.519134648777545e-09,3.301788708943874e-08,14.002356484066695,2.2568811825476587,7.1779752876423305e-09,2.7320681455340237e-08,4.1846664678081866e-08,4.847687,0.0608990341424942,-9.385071,1.2602878,0.010755092836916447,-11.885894
1873,10.405249748844653,2.3104391507804394,4.088902265981771e-08,6.519134648777545e-09,3.301788708943874e-08,14.002356484066695,2.2568811825476587,7.1779752876423305e-09,2.7320681455340237e-08,4.1846664678081866e-08,2.161438,0.03673093393445015,-9.462402,1.2593155,0.010730304755270481,-11.530598
1874,0.9327486027032137,14.31869200617075,4.088902265981771e-08,6.519134648777545e-09,3.301788708943874e-08,14.002356484066695,2.2568811825476587,7.1779752876423305e-09,2.7320681455340237e-08,4.1846664678081866e-08,11.678162,0.11160670965909958,-9.4991455,1.2608008,0.010755500756204128,-11.283362
1875,0.9327486027032137,2.3104391507804394,4.748307536737994e-09,6.519134648777545e-09,3.301788708943874e-08,14.002356484066695,2.2568811825476587,7.1779752876423305e-09,2.7320681455340237e-08,4.1846664678081866e-08,13.335754,0.13867491483688354,-9.003296,1.2610822,0.010763176716864109,-12.162287
1876,0.9327486027032137,2.3104391507804394,4.088902265981771e-08,4.640508819352835e-08,3.301788708943874e-08,14.002356484066695,2.2568811825476587,7.1779752876423305e-09,2.7320681455340237e-08,4.1846664678081866e-08,4.8358765,0.030112743377685547,-9.51947,1.2609091,0.010763709433376789,-11.594826
1877,0.9327486027032137,2.3104391507804394,4.088902265981771e-08,6.519134648777545e-09,2.6402765079783277e-08,14.002356484066695,2.2568811825476587,7.1779752876423305e-09,2.7320681455340237e-08,4.1846664678081866e-08,4.462158,0.05321676284074783,-9.257751,1.2604537,0.010756085626780987,-12.119805
1878,0.9327486027032137,2.3104391507804394,4.088902265981771e-08,6.519134648777545e-09,3.301788708943874e-08,8.222027980256826,2.2568811825476587,7.1779752876423305e-09,2.7320681455340237e-08,4.1846664678081866e-08,4.847534,0.06088048219680786,-9.137634,2.1964455,0.0261247418820858,-11.718708
1879,0.9327486027032137,2.3104391507804394,4.088902265981771e-08,6.519134648777545e-09,3.301788708943874e-08,14.002356484066695,3.2470689569599926,7.1779752876423305e-09,2.7320681455340237e-08,4.1846664678081866e-08,4.8471985,0.06090759485960007,-9.414856,1.2709746,0.011572470888495445,-11.842521
1880,0.9327486027032137,2.3104391507804394,4.088902265981771e-08,6.519134648777545e-09,3.301788708943874e-08,14.002356484066695,2.2568811825476587,1.3104354181606323e-09,2.7320681455340237e-08,4.1846664678081866e-08,4.8484497,0.06089971587061882,-9.150452,1.3393397,0.011760950088500977,-11.560165
1881,0.9327486027032137,2.3104391507804394,4.088902265981771e-08,6.519134648777545e-09,3.301788708943874e-08,14.002356484066695,2.2568811825476587,7.1779752876423305e-09,2.8208258669115605e-08,4.1846664678081866e-08,4.8471375,0.060909319669008255,-9.301941,1.2753811,0.010854189284145832,-11.865364
1882,0.9327486027032137,2.3104391507804394,4.088902265981771e-08,6.519134648777545e-09,3.301788708943874e-08,14.002356484066695,2.2568811825476587,7.1779752876423305e-09,2.7320681455340237e-08,1.413945749565959e-08,4.849304,0.06087038293480873,-9.061707,0.7392268,0.002492758445441723,-10.553696
1883,10.405249748844653,14.31869200617075,4.748307536737994e-09,4.640508819352835e-08,2.6402765079783277e-08,8.222027980256826,3.2470689569599926,1.3104354181606323e-09,2.8208258669115605e-08,1.413945749565959e-08,1.7512817,0.020925482735037804,-9.240845,1.1783018,0.009665612131357193,-9.878986
1884,16.340558549854904,12.533250565640628,1.1457067039022222e-08,4.911002966866828e-08,2.0662199640087784e-09,1.4196891486644745,16.117583981715143,4.495498686012812e-08,5.201601151618175e-08,1.1194127056282014e-09,0.54644775,1.4798674783378374e-06,-8.072937,2.2939978,0.03668689355254173,-10.286175
